date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:03	14106/14106	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:34%20GMT	https://govjobadda.org/indian-navy-aa-ssr-exam-2020-exam-free-test-series-list/5e25799f056e3774bba862b4/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/indian-navy-aa-ssr-exam-2020-exam-free-test-series-list/5e25799f056e3774bba862b4/index.html	(from https://govjobadda.org/exam-list/)
16:43:03	217333/217333	---M--	200	added ('OK')	image/png	etag:%2274ae13948eacb27d4aa12954ff6fe9df%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/15/31/27/Indian-navy-logo-PNG-715x7151.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/15/31/27/Indian-navy-logo-PNG-715x7151.png	(from https://govjobadda.org/exam-list/)
16:43:04	14237/14237	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:35%20GMT	https://govjobadda.org/indian-navy-entrance-exam-officer-entry-exam-free-test-series-list/5e203462056e3774bba71584/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/indian-navy-entrance-exam-officer-entry-exam-free-test-series-list/5e203462056e3774bba71584/index.html	(from https://govjobadda.org/exam-list/)
16:43:05	217333/217333	---M--	200	added ('OK')	image/png	etag:%2274ae13948eacb27d4aa12954ff6fe9df%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/15/31/6/Indian-navy-logo-PNG-715x715.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/15/31/6/Indian-navy-logo-PNG-715x715.png	(from https://govjobadda.org/exam-list/)
16:43:06	14028/14028	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:37%20GMT	https://govjobadda.org/nabard-office-attendant-exam-exam-free-test-series-list/5e05d9b1056e3758c9bd4434/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/nabard-office-attendant-exam-exam-free-test-series-list/5e05d9b1056e3758c9bd4434/index.html	(from https://govjobadda.org/exam-list/)
16:43:06	51026/51026	---M--	200	added ('OK')	image/jpeg	etag:%22b8db06c2151722467a0c284a8df9bb85%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/27/15/45/13/nabard1.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/27/15/45/13/nabard1.jpg	(from https://govjobadda.org/exam-list/)
16:43:07	17576/17576	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:38%20GMT	https://govjobadda.org/nabard-grade-a-exam-exam-free-test-series-list/5e300058056e3774ba5f630b/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/nabard-grade-a-exam-exam-free-test-series-list/5e300058056e3774ba5f630b/index.html	(from https://govjobadda.org/exam-list/)
16:43:07	51026/51026	---M--	200	added ('OK')	image/jpeg	etag:%22b8db06c2151722467a0c284a8df9bb85%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/28/15/5/20/nabard1.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/28/15/5/20/nabard1.jpg	(from https://govjobadda.org/exam-list/)
16:43:07	13900/13900	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:39%20GMT	https://govjobadda.org/hssc-constable-exam-free-test-series-list/5e01ea25056e3775453259ca/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/hssc-constable-exam-free-test-series-list/5e01ea25056e3775453259ca/index.html	(from https://govjobadda.org/exam-list/)
16:43:08	51245/51245	---M--	200	added ('OK')	image/jpeg	etag:%22ac411485ad942fb26854777666fabfd8%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/16/6/21/images.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/16/6/21/images.jpg	(from https://govjobadda.org/exam-list/)
16:43:08	14214/14214	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:39%20GMT	https://govjobadda.org/indian-air-force-group-x-exam-exam-free-test-series-list/5e200457056e372faaf5f920/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/indian-air-force-group-x-exam-exam-free-test-series-list/5e200457056e372faaf5f920/index.html	(from https://govjobadda.org/exam-list/)
16:43:09	54816/54816	---M--	200	added ('OK')	image/png	etag:%22d2a01f8900dbfc0c2bc8c960baf3e226%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/12/6/7/indian-air-force-afcat-02-2019-result.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/12/6/7/indian-air-force-afcat-02-2019-result.png	(from https://govjobadda.org/exam-list/)
16:43:09	14131/14131	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:40%20GMT	https://govjobadda.org/indian-air-force-group-y-exam-exam-free-test-series-list/5e200805056e372fab584d97/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/indian-air-force-group-y-exam-exam-free-test-series-list/5e200805056e372fab584d97/index.html	(from https://govjobadda.org/exam-list/)
16:43:09	54816/54816	---M--	200	added ('OK')	image/png	etag:%22d2a01f8900dbfc0c2bc8c960baf3e226%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/12/21/49/indian-air-force-afcat-02-2019-result.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/16/12/21/49/indian-air-force-afcat-02-2019-result.png	(from https://govjobadda.org/exam-list/)
16:43:10	14067/14067	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:41%20GMT	https://govjobadda.org/rbi-assistant-mains-exam-exam-free-test-series-list/5e4b6259056e3774bdf10874/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/rbi-assistant-mains-exam-exam-free-test-series-list/5e4b6259056e3774bdf10874/index.html	(from https://govjobadda.org/exam-list/)
